title
The Counselor
The Bourne Legacy
Public Enemies
The Jericho Mile
Heat
Thief
Blackhat
Miami Vice
Blood Simple
The Big Lebowski
Klute
The Parallax View
Blow Out
The Master
There Will Be Blood
Inherent Vice
Burning
Sicario
Dune
Gone Girl
The Social Network
The Girl with the Dragon Tattoo
Zodiac
All the President's Men
Chinatown
Rosemary's Baby
Lost Highway
The Insider
The Silence of the Lambs
The Grand Budapest Hotel
The Great Beauty
Infernal Affairs
Infernal Affairs II
Infernal Affairs III
The New World
Certain Women
The Vanishing
Rififi
The Friends of Eddie Coyle
Mikey and Nicky
Broadcast News
The Swimming Pool
Old Joy
The Game
Beau Travail
Throw Down
Days of Heaven
"Paris, Texas"
The Spy Who Came In from the Cold
Memories of Murder
Miller's Crossing
High and Low
Targets
Le Cercle Rouge
The Thin Red Line
The Killing
Being John Malkovich
Portrait of a Lady on Fire
Phoenix
Sorcerer
The American Friend
Army of Shadows
Syriana
Rounders
Good Will Hunting
Inside Man
Tommy Boy
The Thing
They Live
Prometheus
Zero Dark Thirty
The Town
Man on Fire
Finding Forrester
Baby Driver
Superbad
To Live and Die in L.A.
Black Sheep
The Matrix
The Matrix Reloaded
The Matrix Revolutions
Last Holiday
Casino Royale
Once Upon a Time... in Hollywood
Tinker Tailor Soldier Spy
Moneyball
The Fugitive
Knives Out
The Princess Diaries
The Princess Diaries 2: Royal Engagement
